#,Name,Country,Nick,GP_t1 position,GP_t1 points,GP_t1 rank. points,GP_t2 position,GP_t2 points,GP_t2 rank. points,GP_t3 position,GP_t3 points,GP_t3 rank. points,GP_t4 position,GP_t4 points,GP_t4 rank. points,GP_t5 position,GP_t5 points,GP_t5 rank. points,GP_t6 position,GP_t6 points,GP_t6 rank. points,GP_t7 position,GP_t7 points,GP_t7 rank. points,Points,Played GPs,Total GPs,year
11.,Daisuke TAKEI,Japan,hotondo,11,76.4,746,10,88.07,784.5,11,71.68,687.2,32,63.44,611.7,,,,3,95.42,799.8,26,69.37,700.1,464.38,6,7,2014
12.,Ulrich Voigt,Germany,uvo,18,67.56,659.7,8,89.08,793.5,12,70.36,674.5,9,83.8,808,27,61.52,550,21,64.42,540,10,85.17,859.5,460.39,7,7,2014
13.,Rishi Puri,India,purifire,16,69,673.8,18,78.75,701.5,2,89.06,853.8,14,77.89,751,13,76.12,680.5,15,67.41,565,27,68.74,693.7,459.56,7,7,2014
14.,Timothy DOYLE,France,Timothy,61,46.19,451,26,70.42,627.3,5,81.43,780.7,7,86.37,832.8,50,50.34,450,12,72.83,610.5,2,96.61,975,458.00,7,7,2014
15.,Frédéric Stalder,Switzerland,Fred76,26,57.86,565,7,89.1,793.7,,,,11,79.03,762,12,76.21,681.3,16,67.41,565,8,85.93,867.2,455.54,6,7,2014
16.,Matus Demiger,Slovakia,,5,78.67,768.2,41,57.59,513,,,,8,85.04,820,7,84.59,756.2,18,66.57,558,15,80.74,814.8,453.20,6,7,2014
17.,Jan Novotný,Czech Rep.,KrtekHonza,17,68.33,667.2,23,74.76,666,22,62.58,600,12,78.82,760,11,77.76,695.2,13,68.56,574.7,17,78.59,793.1,446.82,7,7,2014
18.,Prasanna Seshadri,India,prasanna16391,6,78.29,764.5,14,82.45,734.5,32,55.07,528,18,71.63,690.7,10,78.6,702.7,19,66.09,554,,,,432.13,6,7,2014
19.,Takuya Sugimoto,Japan,sugitakukun,20,64.11,626,12,82.96,739,19,65,623.2,35,62.44,602,22,68.81,615.2,36,51.66,433,19,74.45,751.3,417.77,7,7,2014
20.,Sumet Juariyamark,Thailand,MrLiang,4,79.85,779.7,29,67.36,600,14,67.61,648.2,55,48.54,468,17,73.01,652.7,24,60.25,505,29,68.52,691.5,416.60,7,7,2014
21.,Zuzana Hromcová,Slovakia,zuziik,10,77.32,755,52,53.88,480,25,56.01,537,25,67.52,651,14,75.27,672.9,47,46.53,390,16,79.95,806.9,409.95,7,7,2014
22.,Jana Břízová,Czech Rep.,tojejedno,23,61.62,601.7,33,64.32,573,16,67.51,647.2,30,64.18,618.8,18,72.07,644.3,32,55.6,466,25,70.62,712.7,400.32,7,7,2014
23.,Taro Arimatsu,Japan,tarotaro,21,63.67,621.7,13,82.6,735.8,30,55.07,528,34,62.61,603.7,23,63.42,567,34,54.64,458,33,66.41,670.2,393.78,7,7,2014
24.,Yuhei Kusui,Japan,,39,53.15,519,32,64.66,576,59,41.62,399,16,73.69,710.5,,,,11,73.48,615.9,9,85.86,866.5,392.46,6,7,2014
25.,Jason Zuffranieri,USA,Ziti,25,57.86,565,43,57.25,510,15,67.57,647.8,28,65.37,630.3,19,71.87,642.5,37,50.58,424,22,71.97,726.3,391.89,7,7,2014
26.,Ken Endo,Japan,EKBM,19,66.94,653.7,25,70.75,630.2,57,42.24,405,29,64.56,622.5,40,54.81,490,31,55.83,468,18,76.58,772.8,389.47,7,7,2014
27.,Vincent Bertrand,Belgium,,36,53.46,522,40,59.95,534,23,60.08,576,13,78.51,757,20,71.55,639.7,81,38.3,321,40,60.07,606.2,383.62,7,7,2014
28.,Martin Merker,Germany,MaM,33,55.91,546,35,63.99,570,35,52.57,504,31,63.52,612.5,28,60.96,545,26,58.46,490,21,73.25,739.2,376.09,7,7,2014
29.,Jakub Hrazdira,Czech Rep.,Gotroch,31,56.12,548,19,76.92,685.2,39,49.13,471,20,70.8,682.7,59,45.64,408,39,49.39,414,23,71.96,726.2,374.32,7,7,2014
30.,Sebastian Matschke,Germany,semax123,32,56.12,548,15,80.88,720.5,21,63.92,612.8,26,66.79,644,,,,60,43.07,361,36,63.45,640.3,374.23,6,7,2014
31.,David Jones,Canada,WMathie,68,44.24,432,53,53.55,477,26,55.7,534,23,68.27,658.3,21,69.33,619.8,35,53.33,447,24,71.86,725.2,372.04,7,7,2014
32.,Salih Alan,Turkey,bskbri,,,,34,64.31,572.9,24,56.33,540,22,69.16,666.8,43,52.91,473,22,64.42,540,39,60.81,613.7,367.94,6,7,2014
33.,Sylvain Caudmont,France,sisi59,29,56.73,554,39,60.28,537,18,66.18,634.5,37,57.98,559,39,54.81,490,28,57.74,484,38,60.9,614.6,359.81,7,7,2014
34.,Branko Ćeranić,Serbia,skywalker,24,58.78,574,,,,27,55.39,531,27,65.55,632,32,60.4,540,57,43.07,361,28,68.72,693.5,351.91,6,7,2014
35.,Klára Vytisková,Czech Rep.,QKV,47,49.87,487,36,62.3,555,17,66.94,641.8,38,57.87,558,55,48.43,433,46,47.24,396,34,65.03,656.3,350.44,7,7,2014
36.,Bram de Laat,Netherlands,Para,56,47.21,461,60,50.52,450,68,39.74,381,41,54.45,525,25,62.08,555,14,68.24,572,37,63.33,639.1,345.83,7,7,2014
37.,Przemysław Dębiak,Poland,Psyho,40,53.15,519,49,56.58,504,43,48.5,465,21,70.09,675.8,30,60.4,540,63,42.23,354,42,57.07,576,345.79,7,7,2014
38.,Yuta Nagata,Japan,nyuta,28,57.14,558,31,64.66,576,37,51.32,492,53,48.95,472,36,55.37,495,41,49.03,411,32,66.69,673,344.21,7,7,2014
39.,Martin Kollar,Slovakia,mackokajka,103,38.61,377,16,80.35,715.8,76,37.55,360,24,68.19,657.5,53,48.66,435,,,,31,67.2,678.2,340.56,6,7,2014
40.,Ivana Stiptova,Slovakia,tilansia,51,48.64,475,48,57.25,510,40,48.82,468,48,50.51,487,16,73.24,654.8,25,58.82,493,51,49.05,495,337.69,7,7,2014
41.,Keisui Okuma,Japan,,111,37.28,364,47,57.25,510,34,52.88,507,76,40.24,388,45,51.45,460,17,67.41,565,30,67.53,681.5,336.76,7,7,2014
42.,Claudine Thiry,Luxembourg,dodine,38,53.15,519,57,52.2,465,36,52.26,501,46,51.13,493,86,38.03,340,27,57.74,484,46,52.32,528,318.80,7,7,2014
43.,Byron Calver,Canada,ByronosaurusRex,52,48.23,471,27,69.62,620.2,38,51.32,492,,,,84,38.26,342,29,56.31,472,50,50.24,507,313.98,6,7,2014
44.,Gyimesi Zoltán,Hungary,Hunsudoku,54,47.93,468,24,73.39,653.8,85,35.99,345,54,48.75,470,56,48.43,433,96,33.17,278,44,53.8,543,308.29,7,7,2014
45.,Stefan Gaspar,Slovakia,pista,49,49.16,480,37,60.62,540,108,33.17,318,62,46.15,445,29,60.74,543,48,46.53,390,90,37.16,375,300.36,7,7,2014
46.,Yong Gui,China,righthand,109,37.69,368,117,38.06,339,41,48.82,468,42,52.89,510,26,61.52,550,,,,41,59.45,600,298.43,6,7,2014
47.,Michaela Bieliková,Slovakia,,74,43.01,420,46,57.25,510,50,44.12,423,44,52.27,504,33,59.84,535,72,40.09,336,73,41.02,414,297.51,7,7,2014
48.,Robert Vollmert,Germany,rob,55,47.82,467,92,42.77,381,70,38.49,369,49,50.3,485,44,51.79,463,40,49.39,414,47,51.72,522,293.79,7,7,2014
49.,Chris Narrikkattu,USA,narri,37,53.35,521,77,45.46,405,83,36.93,354,43,52.89,510,52,49.78,445,,,,43,54.1,546,292.51,6,7,2014
50.,Denis Auroux,France,auroux,71,43.63,426,55,52.87,471,55,42.87,411,47,51.03,492,79,39.71,355,50,45.22,379,45,53.21,537,288.83,7,7,2014
#,Name,Country,Nick,GP1 position,GP1 points,GP1 rank. points,GP2 position,GP2 points,GP2 rank. points,GP3 position,GP3 points,GP3 rank. points,GP4 position,GP4 points,GP4 rank. points,GP5 position,GP5 points,GP5 rank. points,GP6 position,GP6 points,GP6 rank. points,GP7 position,GP7 points,GP7 rank. points,Points,Played GPs,Total GPs,2014
51.,Kishore Sridharan,India,kishy72,75,42.6,416,51,53.88,480,45,47.56,456,106,35.26,340,46,51.45,460,51,44.62,374,55,46.97,474,287.08,7,7,2014
52.,Dan Katz,USA,Spelvin,48,49.77,486,59,50.52,450,91,34.42,330,40,56.11,541,75,40.27,360,38,49.87,418,77,40.13,405,286.67,7,7,2014
53.,Supachai Thongsawang,Thailand,KSudoMath,30,56.12,548,93,42.77,381,29,55.39,531,56,47.6,459,110,31.66,283,58,43.07,361,78,39.83,402,284.78,7,7,2014
54.,Roland Voigt,Germany,Hausigel,76,42.29,413,91,43.11,384,78,37.55,360,63,44.6,430,70,42.28,378,45,47.48,398,35,64.95,655.5,284.71,7,7,2014
55.,Ran Liao,China,snakeeyes,42,52.23,510,63,50.18,447,101,33.8,324,110,34.12,329,62,44.74,400,30,56.07,470,58,45.18,456,282.52,7,7,2014
56.,Wilbert Zwart Wilbert,Netherlands,Space_wuppie,41,52.43,512,70,49.17,438,52,43.81,420,132,30.91,298,51,49.78,445,68,40.56,340,56,46.67,471,282.42,7,7,2014
57.,Lukasz Kalinowski,Poland,,45,51.51,503,90,43.44,387,44,48.5,465,45,51.34,495,76,39.71,355,44,47.72,400,,,,282.22,6,7,2014
58.,Mark Goodliffe,UK,magoo,70,43.93,429,61,50.52,450,60,41.62,399,60,46.88,452,57,47.87,428,76,39.25,329,48,50.83,513,281.65,7,7,2014
59.,Agnieszka Buczma,Poland,agabum,110,37.28,364,56,52.2,465,47,46.63,447,51,49.26,475,48,51.12,457,52,43.9,368,95,35.97,363,280.39,7,7,2014
60.,Zoran Tanasic,Serbia,zorant,34,53.56,523,,,,46,47.25,453,61,46.15,445,98,34.68,310,43,48.2,404,49,50.54,510,280.38,6,7,2014
61.,Giovanni Frugoli,Italy,Akuma21,88,39.94,390,45,57.25,510,72,38.18,366,66,44.6,430,42,53.69,480,64,41.64,349,67,41.91,423,279.03,7,7,2014
62.,Takeshi Kawasaki,Japan,,132,34.31,335,69,49.84,444,123,30.35,291,83,38.37,370,68,43.06,385,33,54.64,458,52,48.45,489,268.67,7,7,2014
63.,Roberto Lee,Taiwan,robertolee,72,43.52,425,64,50.18,447,53,43.81,420,64,44.6,430,,,,65,41.52,348,65,42.21,426,265.84,6,7,2014
64.,Błażej Szmatiuk,Poland,,92,39.53,386,71,48.83,435,42,48.5,465,,,,58,46.64,417,94,34.24,287,59,45.18,456,262.92,6,7,2014
65.,Kerstin Wöge,Germany,,46,50.9,497,79,45.13,402,62,41.31,396,130,30.91,298,73,41.16,368,55,43.55,365,81,39.54,399,261.59,7,7,2014
66.,Shinichi Aoki,Japan,,93,39.43,385,73,47.82,426,165,23.78,228,39,57.04,550,,,,61,42.71,358,54,47.27,477,258.05,6,7,2014
67.,Magdalena Bernacik,Poland,,15,69.89,682.5,38,60.43,538.3,,,,33,63.03,607.7,31,60.4,540,,,,,,,253.75,4,7,2014
68.,Laura Tarchetti,Italy,fenicia,87,39.94,390,120,37.72,336,51,44.12,423,147,29.04,280,47,51.45,460,87,36.39,305,79,39.83,402,249.45,7,7,2014
69.,Jaipal Reddy,India,mjaipal,120,35.64,348,106,39.74,354,56,42.56,408,70,43.25,417,60,45.53,407,66,41.16,345,99,35.37,357,247.88,7,7,2014
70.,Henning Kalsgaard Poulsen,Denmark,Kalsgaard,65,45.26,442,112,38.39,342,82,36.93,354,107,35.26,340,64,44.74,400,111,28.75,241,60,45.18,456,245.76,7,7,2014
71.,Jan Zverina,Czech Rep.,,79,41.68,407,274,19.2,171,145,26.6,255,68,43.35,418,49,50.34,450,54,43.55,365,85,38.94,393,244.46,7,7,2014
72.,Jiri Hrdina,Czech Rep.,jhrdina,145,32.36,316,86,44.12,393,61,41.62,399,90,37.03,357,83,38.48,344,62,42.59,357,76,40.43,408,244.27,7,7,2014
73.,Martin Kubík,Czech Rep.,marty,64,45.26,442,121,37.72,336,66,40.37,387,113,33.4,322,63,44.74,400,83,37.34,313,103,32.7,330,238.83,7,7,2014
74.,Elena Aivazopoulou,Greece,,78,41.99,410,81,45.13,402,73,38.18,366,86,37.96,366,107,31.88,285,53,43.66,366,,,,238.80,6,7,2014
75.,Věra Kuběnová,Czech Rep.,jolly,84,40.76,398,115,38.39,342,140,27.22,261,118,32.88,317,54,48.43,433,71,40.09,336,98,35.67,360,236.22,7,7,2014
76.,Zimmermann Thomas,Germany,ThomasKostolany,151,31.95,312,76,45.8,408,87,35.05,336,108,35.05,338,78,39.71,355,79,38.42,322,82,39.24,396,233.27,7,7,2014
77.,David Vondrák,Czech Rep.,,128,34.61,338,87,43.78,390,79,37.55,360,109,34.74,335,117,30.09,269,70,40.32,338,68,41.32,417,232.32,7,7,2014
78.,Radek Lopusnik,USA,radekivv,112,36.87,360,101,40.75,363,89,34.73,333,103,35.26,340,112,31.66,283,77,38.89,326,61,42.81,432,229.31,7,7,2014
79.,Satoshi Ando,Japan,aldentea,89,39.73,388,84,44.45,396,110,31.92,306,80,40.03,386,81,39.37,352,101,31.02,260,,,,226.52,6,7,2014
80.,Jana Hanzelkova,Czech Rep.,Tydela,119,35.64,348,147,33,294,132,27.85,267,72,43.04,415,134,28.41,254,82,37.82,317,53,48.45,489,226.36,7,7,2014
81.,Peter Hudak,Slovakia,ppeetteerr,67,44.44,434,30,67.36,600,,,,36,58.29,562,34,56.15,502,,,,,,,226.24,4,7,2014
82.,Aaron Chan,Canada,achan1058,135,34.2,334,98,41.42,369,122,30.35,291,52,49.26,475,113,31.32,280,104,30.66,257,83,39.24,396,226.10,7,7,2014
83.,Felezeu Mihai,Germany,felezeu 1,58,46.9,458,131,36.04,321,77,37.55,360,136,30.91,298,109,31.66,283,105,30.3,254,64,42.21,426,225.27,7,7,2014
84.,BOUCHAUD Michaël,France,MKK,99,38.91,380,123,37.72,336,71,38.18,366,191,24.06,232,67,43.4,388,127,26.13,219,94,36.56,369,220.90,7,7,2014
85.,Wojciech Gryciuk,Poland,wgryciuk,77,42.19,412,126,37.72,336,106,33.48,321,125,30.91,298,92,36.35,325,88,35.91,301,105,32.1,324,217.75,7,7,2014
86.,Martina Machackova,Czech Rep.,Madla,187,28.26,276,122,37.72,336,149,26.29,252,69,43.35,418,91,36.69,328,97,32.93,276,93,36.56,369,215.51,7,7,2014
87.,Jackie Anderson,USA,jackie,116,36.25,354,109,39.4,351,81,36.93,354,121,31.84,307,135,28.41,254,108,29.23,245,74,40.73,411,214.38,7,7,2014
88.,Todd Geldon,USA,,188,27.96,273,,,,95,34.11,327,105,35.26,340,80,39.71,355,80,38.3,321,86,38.94,393,214.28,6,7,2014
89.,Pavel Kadlečík,Czech Rep.,kousek-nebe,66,44.96,439,28,67.39,600.3,,,,59,46.98,453,41,54.81,490,,,,,,,214.14,4,7,2014
90.,Yuka Jo,Japan,melvy,170,29.49,288,104,40.41,360,159,24.41,234,67,43.87,423,,,,95,33.64,282,66,41.91,423,213.73,6,7,2014
91.,Chiara Nuzio,Italy,lupurk,140,33.59,328,74,47.15,420,99,33.8,324,95,36.09,348,206,19.02,170,121,26.37,221,101,34.78,351,211.78,7,7,2014
92.,Petra Čičová,Czech Rep.,,139,33.69,329,83,44.79,399,109,33.17,318,208,22.19,214,88,36.69,328,150,21.47,180,75,40.43,408,210.96,7,7,2014
93.,stefano forcolin,Italy,sf2l,126,35.02,342,100,41.09,366,144,26.91,258,89,37.44,361,127,29.64,265,90,35.79,300,147,24.67,249,205.89,7,7,2014
94.,Frédéric PREVOT,France,Ours Blanc,80,41.37,404,116,38.39,342,63,40.99,393,79,40.14,387,66,43.85,392,,,,,,,204.74,5,7,2014
95.,Jakub Majewski,Poland,Kubix,207,26.22,256,105,40.08,357,172,22.84,219,71,43.04,415,87,36.69,328,,,,96,35.67,360,204.54,6,7,2014
96.,Maria Graber,Germany,maria90,152,31.64,309,179,28.96,258,116,31.29,300,114,33.19,320,93,36.13,323,,,,62,42.21,426,203.42,6,7,2014
97.,M V,Canada,,167,29.9,292,151,31.99,285,64,40.68,390,171,26.65,257,71,41.72,373,99,32.21,270,188,18.43,186,203.15,7,7,2014
98.,Chris Bean,USA,chrisb,141,33.38,326,99,41.09,366,150,26.29,252,152,28.62,276,99,34.68,310,159,20.52,172,88,37.75,381,201.81,7,7,2014
99.,Raul Kacirek,Czech Rep.,Caca,146,32.36,316,138,34.69,309,,,,161,27.69,267,77,39.71,355,126,26.13,219,84,38.94,393,199.52,6,7,2014
100.,Jerry Weir,Canada,,101,38.91,380,141,34.01,303,75,37.55,360,135,30.91,298,141,27.07,242,138,23.62,198,112,30.92,312,199.37,7,7,2014
#,Name,Country,Nick,GP1 position,GP1 points,GP1 rank. points,GP2 position,GP2 points,GP2 rank. points,GP3 position,GP3 points,GP3 rank. points,GP4 position,GP4 points,GP4 rank. points,GP5 position,GP5 points,GP5 rank. points,GP6 position,GP6 points,GP6 rank. points,GP7 position,GP7 points,GP7 rank. points,Points,Played GPs,Total GPs,2014
101.,Hawel Manuela,Austria,,281,19.66,192,88,43.78,390,147,26.6,255,100,35.26,340,101,34.34,307,110,28.75,241,116,30.02,303,198.75,7,7,2014
102.,Christoph Seeliger,Germany,Realshaggy,179,28.47,278,75,46.14,411,100,33.8,324,189,24.27,234,116,30.43,272,115,28.51,239,110,31.21,315,198.56,7,7,2014
103.,Mohd Farhan Bin Hassin Farhan,Malaysia,,35,53.56,523,17,79.91,711.8,20,64.33,616.7,,,,,,,,,,,,,197.80,3,7,2014
104.,Jonathan Rivet,USA,,60,46.8,457,,,,48,45.69,438,50,49.47,477,38,55.37,495,,,,,,,197.33,4,7,2014
105.,Rajesh Kumar,India,,191,27.75,271,,,,130,28.48,273,151,29.04,280,95,35.01,313,78,38.77,325,87,38.05,384,197.10,6,7,2014
106.,Thananon Boonkrong,Thailand,B. Thananon,113,36.66,358,215,24.25,216,112,31.61,303,128,30.91,298,72,41.39,370,141,23.14,194,106,32.1,324,196.92,7,7,2014
107.,Sina Hedayati,Iran,Black Tiger,156,31.54,308,110,38.73,345,94,34.11,327,179,25.41,245,254,12.86,115,84,37.22,312,127,27.65,279,194.66,7,7,2014
108.,Ko Okamoto,Japan,xevs,43,52.23,510,11,87.3,777.7,31,55.07,528,,,,,,,,,,,,,194.60,3,7,2014
109.,Anna Wąsowska,Poland,ancyna,157,31.54,308,119,38.06,339,118,30.67,294,102,35.26,340,147,26.29,235,130,24.82,208,113,30.92,312,192.74,7,7,2014
110.,Jaan Laks,Estonia,salmo,193,27.44,268,162,31.66,282,138,27.54,264,81,39,376,104,33.33,298,98,32.57,273,125,28.54,288,192.64,7,7,2014
111.,Rachel Kagan,USA,Rachel,190,27.85,272,166,30.98,276,104,33.8,324,127,30.91,298,153,25.95,232,75,39.37,330,130,27.35,276,190.26,7,7,2014
112.,John Reid,USA,john_reid,217,25.09,245,124,37.72,336,135,27.54,264,87,37.65,363,111,31.66,283,106,30.06,252,,,,189.72,6,7,2014
113.,Olga Diaz,Spain,,,,,97,41.76,372,212,19.71,189,101,35.26,340,85,38.26,342,109,29.23,245,150,24.08,243,188.30,6,7,2014
114.,Veronika Macků,Czech Rep.,Pherenike,85,40.55,396,66,49.84,444,188,20.34,195,313,9.33,90,140,27.63,247,124,26.25,220,165,22.29,225,186.90,7,7,2014
115.,Maximilian Merkert,Germany,,197,26.93,263,205,26.61,237,92,34.42,330,126,30.91,298,119,29.98,268,86,36.63,307,128,27.65,279,186.52,7,7,2014
116.,Marek Kasár,Slovakia,markas999,178,28.57,279,85,44.12,393,105,33.8,324,74,40.86,394,82,39.15,350,,,,,,,186.50,5,7,2014
117.,Kunal Verma,India,BeautyOfConfigurations,106,37.89,370,139,34.69,309,107,33.17,318,182,25.41,245,136,28.3,253,,,,148,24.38,246,183.84,6,7,2014
118.,自 然,China,zrlyg,283,19.56,191,95,42.1,375,214,17.84,171,97,35.99,347,155,25.17,225,182,18.37,154,63,42.21,426,183.40,7,7,2014
119.,swaroop guggilam,India,swaroop2011,130,34.51,337,134,35.36,315,,,,77,40.24,388,122,29.98,268,59,43.07,361,,,,183.16,5,7,2014
120.,Vittorio Schiavone,Italy,Moso,181,28.37,277,244,21.22,189,102,33.8,324,267,15.76,152,164,24.27,217,69,40.44,339,100,34.78,351,182.88,7,7,2014
121.,Deyan Razsadov,Bulgaria,Deyan,169,29.49,288,127,37.05,330,168,23.47,225,122,31.63,305,131,29.08,260,,,,107,32.1,324,182.82,6,7,2014
122.,Jason Idalski,USA,,127,34.61,338,204,26.61,237,153,26.29,252,146,29.04,280,166,23.27,208,91,34.96,293,123,28.83,291,180.34,7,7,2014
123.,Florian Kirch,Germany,flooser,27,57.76,564,22,75.47,672.3,,,,,,,,,,49,45.22,379,,,,178.45,3,7,2014
124.,pwmjhq pwmjhq,USA,,159,31.54,308,170,30.98,276,97,33.8,324,200,22.92,221,137,28.3,253,137,24.34,204,120,29.43,297,178.39,7,7,2014
125.,Jae-Gyoung Kwon,"Korea, South",kyoung14k,86,39.94,390,195,26.94,240,125,30.04,288,177,25.41,245,125,29.64,265,,,,137,26.16,264,178.13,6,7,2014
126.,Pawel Kepczynski,Poland,pafcio,173,29.39,287,,,,84,36.3,348,75,40.34,389,97,34.9,312,,,,91,36.86,372,177.79,5,7,2014
127.,Lars Slofstra,Netherlands,,,,,94,42.77,381,119,30.67,294,116,33.08,319,74,40.6,363,116,28.27,237,,,,175.39,5,7,2014
128.,Tom Krejčí,Czech Rep.,tierra,124,35.23,344,158,31.66,282,183,21.28,204,145,29.25,282,123,29.98,268,120,26.6,223,,,,174.00,6,7,2014
129.,Jiri Stary,Czech Rep.,geobest,175,28.98,283,174,30.31,270,220,16.9,162,111,34.12,329,144,26.62,238,214,14.32,120,92,36.56,369,173.49,7,7,2014
130.,Csizmazia Tamás,Hungary,cheese,250,21.92,214,89,43.78,390,111,31.92,306,92,36.3,350,208,18.46,165,157,20.64,173,,,,173.02,6,7,2014
131.,Gaurav Kumar Jain,India,Gaurav,198,26.83,262,193,27.28,243,146,26.6,255,187,25.1,242,172,22.93,205,85,37.1,311,122,28.83,291,171.74,7,7,2014
132.,Jan Farkas,Slovakia,slovak,107,37.89,370,67,49.84,444,,,,84,38.06,367,61,45.3,405,,,,,,,171.09,4,7,2014
133.,Neeraj Mehrotra,India,neerajmehrotra,131,34.31,335,201,26.94,240,164,24.1,231,154,28.52,275,124,29.98,268,,,,133,26.75,270,170.60,6,7,2014
134.,Eric Holmes,USA,,143,32.97,322,,,,115,31.29,300,115,33.19,320,,,,103,30.9,259,72,41.02,414,169.37,5,7,2014
135.,Christof Bruetsch,Switzerland,chrishy,255,21.61,211,125,37.72,336,177,22.84,219,168,26.65,257,106,33,295,,,,155,23.78,240,165.60,6,7,2014
136.,Peter Hornak,Slovakia,petho,218,24.88,243,143,33.34,297,96,33.8,324,124,31.01,299,266,11.86,106,215,14.2,119,126,27.94,282,165.17,7,7,2014
137.,Howard Wilkinson,Estonia,HWHW,177,28.98,283,154,31.99,285,263,12.52,120,155,28.52,275,148,26.29,235,117,27.8,233,177,21.11,213,164.69,7,7,2014
138.,Minyoung Joo,"Korea, South",JooMY,44,51.51,503,42,57.25,510,,,,,,,35,55.7,498,,,,,,,164.46,3,7,2014
139.,Prakhar Gupta,India,dp_94,210,25.91,253,156,31.99,285,186,20.65,198,,,,94,35.01,313,176,18.97,159,108,31.21,315,163.74,6,7,2014
140.,Kristin Stearns,USA,DreamRose311,237,23.45,229,153,31.99,285,234,15.96,153,253,17.63,170,149,26.29,235,107,30.06,252,102,33.59,339,163.01,7,7,2014
141.,John Rickert,USA,Rickert,318,16.08,157,137,35.02,312,128,29.73,285,138,30.6,295,190,20.92,187,216,14.2,119,119,29.43,297,161.78,7,7,2014
142.,Vasso Kalaitzidou,Greece,vasso,172,29.39,287,169,30.98,276,231,16.27,156,144,29.66,286,176,22.93,205,147,22.31,187,141,26.16,264,161.43,7,7,2014
143.,Veronika Lengauer,Germany,garganegra,224,23.86,233,160,31.66,282,200,19.71,189,112,34.02,328,,,,119,27.08,227,145,24.67,249,161.00,6,7,2014
144.,Miriam Kates,USA,quijax,326,15.57,152,181,28.63,255,103,33.8,324,279,14.21,137,162,24.61,220,100,32.21,270,140,26.16,264,160.98,7,7,2014
145.,Jana Vodičková,Czech Rep.,Janka,69,43.93,429,58,50.85,453,160,24.41,234,,,,,,,73,39.85,334,,,,159.04,4,7,2014
146.,Hwangrae Lee,"Korea, South",Spica,,,,,,,33,55.07,528,57,47.6,459,37,55.37,495,,,,,,,158.04,3,7,2014
147.,Randy Rogers,USA,Randiman,280,19.66,192,194,27.28,243,161,24.1,231,94,36.09,348,191,20.36,182,244,10.02,84,124,28.54,288,156.03,7,7,2014
148.,Zdenka Pácalová,Czech Rep.,zdenkap,202,26.52,259,140,34.69,309,155,25.97,249,263,16.7,161,105,33,295,217,13.84,116,194,17.54,177,154.42,7,7,2014
149.,Eva Schuckert,Austria,,81,40.86,399,111,38.73,345,,,,85,38.06,367,90,36.69,328,,,,,,,154.34,4,7,2014
150.,Adam Bissett,UK,,337,14.95,146,159,31.66,282,211,19.71,189,137,30.8,297,210,18.23,163,122,26.25,220,131,27.05,273,153.70,7,7,2014
