#,Name,Country,Nick,GP_t1 position,GP_t1 points,GP_t1 rank. points,GP_t2 position,GP_t2 points,GP_t2 rank. points,GP_t3 position,GP_t3 points,GP_t3 rank. points,GP_t4 position,GP_t4 points,GP_t4 rank. points,GP_t5 position,GP_t5 points,GP_t5 rank. points,GP_t6 position,GP_t6 points,GP_t6 rank. points,GP_t7 position,GP_t7 points,GP_t7 rank. points,GP_t8 position,GP_t8 points,GP_t8 rank. points,Points,Played GPs,Total GPs,year
158.,Marco Pellegrini,Italy,m19700530,303,135,135,192,180,180,126,293,293,,,,124,278,278,150,255,255,108,306,306,,,,1447,6,8,2016
159.,Michał Mazur,Poland,k3isim,158,242,242,233,151,151,77,355,355,221,186,186,127,276,276,164,235,235,238,150,150,232,128,128,1445,8,8,2016
160.,Diana Skrhova,Slovakia,Anaid,176,228,228,93,276,276,130,291,291,76,375,375,128,274,274,,,,,,,,,,1444,5,8,2016
161.,Sam Boden,UK,Sam Boden,245,173,173,201,170,170,,,,150,245,245,75,364,364,,,,168,213,213,121,271,271,1436,6,8,2016
162.,Rachel Kagan,USA,Rachel,124,278,278,353,77,77,109,312,312,214,193,193,241,165,165,200,204,204,,,,120,276,276,1428,7,8,2016
163.,Isabel Herget,Germany,,183,222,222,147,221,221,216,222,222,201,199,199,223,172,172,117,294,294,132,264,264,,,,1422,7,8,2016
164.,Thananon Boonkrong,Thailand,B. Thananon,155,242,242,,,,139,276,276,257,157,157,175,219,219,135,272,272,163,221,221,182,186,186,1416,7,8,2016
165.,Lukasz Skrzypczynski,Poland,skrzypl1,156,242,242,116,245,245,220,217,217,168,225,225,167,228,228,176,222,222,266,114,114,132,251,251,1413,8,8,2016
166.,Yuki Kawabe,Japan,nyoroppyi,167,239,239,36,402,402,67,392,392,,,,73,372,372,,,,,,,,,,1405,4,8,2016
167.,David Collison,UK,DavidCollison,267,164,164,108,261,261,227,210,210,165,226,226,192,199,199,99,323,323,202,180,180,214,157,157,1399,8,8,2016
168.,Todd Geldon,USA,,,,,107,261,261,193,233,233,,,,97,329,329,98,323,323,,,,146,242,242,1388,5,8,2016
169.,Giuseppe Jelich,Italy,bjelico,194,212,212,209,166,166,142,273,273,144,254,254,135,267,267,204,197,197,261,118,118,,,,1369,7,8,2016
170.,Fernando Almazán Gil,Spain,-.ferchx.-,264,164,164,213,164,164,226,211,211,187,213,213,145,253,253,205,197,197,130,267,267,150,228,228,1369,8,8,2016
171.,Jerry Weir,Canada,,108,292,292,235,150,150,369,87,87,179,220,220,150,249,249,259,148,148,217,173,173,117,282,282,1366,8,8,2016
172.,Jean Robert,France,khazimir,228,192,192,145,222,222,280,166,166,183,216,216,312,82,82,121,291,291,129,269,269,238,128,128,1356,8,8,2016
173.,Thomas Dimopoulos,Greece,thomasdim,349,103,103,208,168,168,248,196,196,194,206,206,157,239,239,252,154,154,143,252,252,106,293,293,1354,8,8,2016
174.,Jarett Prouse,Canada,huenthar,253,170,170,227,155,155,294,153,153,103,307,307,152,245,245,,,,209,176,176,103,295,295,1348,7,8,2016
175.,Kartik Reddy,India,,206,202,202,224,156,156,171,255,255,189,213,213,,,,233,174,174,125,278,278,155,223,223,1345,7,8,2016
176.,Mladen Mestrovic,Croatia,mestar,274,161,161,101,266,266,212,223,223,120,281,281,208,180,180,178,219,219,223,164,164,205,168,168,1337,8,8,2016
177.,Sergei Biriukov,Russia,fmserega,280,155,155,146,222,222,,,,143,256,256,119,285,285,209,196,196,206,179,179,172,194,194,1332,7,8,2016
178.,Ben Neumann,USA,Neumann,192,213,213,289,123,123,188,237,237,72,385,385,146,253,253,278,119,119,,,,,,,1330,6,8,2016
179.,Igor Hudak,Slovakia,pekos,86,329,329,215,164,164,222,215,215,319,98,98,,,,180,217,217,,,,92,306,306,1329,6,8,2016
180.,Alexander Angelov,Bulgaria,Alex,383,81,81,331,98,98,161,264,264,296,124,124,148,250,250,190,210,210,116,291,291,177,189,189,1328,8,8,2016
181.,Kunal Verma,India,ChessCombinatorics,169,238,238,203,170,170,206,226,226,139,262,262,248,159,159,185,215,215,169,213,213,,,,1324,7,8,2016
182.,Sowa Suzuki,Japan,,157,242,242,171,196,196,321,134,134,146,250,250,288,117,117,159,239,239,190,192,192,169,200,200,1319,8,8,2016
183.,Cojean Nicolas,France,Nicolas22,201,205,205,155,210,210,202,230,230,246,162,162,177,219,219,142,267,267,196,185,185,,,,1316,7,8,2016
184.,Raman Garimella,India,rgarimella,142,257,257,207,168,168,200,230,230,247,162,162,228,169,169,140,271,271,164,220,220,278,61,61,1315,8,8,2016
185.,Alex Koek,Netherlands,,163,241,241,286,125,125,195,233,233,171,225,225,204,184,184,210,195,195,158,233,233,,,,1311,7,8,2016
186.,Nathalie Catinot,France,,307,132,132,188,183,183,167,256,256,166,225,225,227,169,169,220,188,188,121,284,284,204,168,168,1305,8,8,2016
187.,Tomasz Skalski,Poland,,207,201,201,170,198,198,147,271,271,94,332,332,115,291,291,,,,,,,,,,1293,5,8,2016
188.,Jack Bross,USA,sknight,256,170,170,218,162,162,255,192,192,107,302,302,138,261,261,332,39,39,174,205,205,,,,1292,7,8,2016
189.,shigetoshi okumura,Japan,okushige,232,186,186,163,202,202,251,194,194,186,213,213,211,178,178,163,236,236,142,253,253,,,,1284,7,8,2016
190.,Supachai Thongsawang,Thailand,AgentK,38,472,472,,,,,,,,,,,,,76,376,376,67,435,435,,,,1283,3,8,2016
191.,Jouni Särkijärvi,Finland,peluri,216,200,200,140,225,225,204,230,230,207,198,198,169,228,228,202,200,200,,,,179,189,189,1281,7,8,2016
192.,Marco Tadini,Italy,marchino75,326,121,121,299,117,117,181,242,242,227,179,179,154,244,244,174,225,225,204,180,180,162,210,210,1280,8,8,2016
193.,Martin Fundarek,Slovakia,,247,172,172,277,129,129,140,275,275,276,136,136,256,148,148,203,199,199,219,167,167,88,319,319,1280,8,8,2016
194.,Rene Gilhuijs,Netherlands,RCG,239,177,177,169,199,199,116,304,304,140,262,262,,,,,,,99,337,337,,,,1279,5,8,2016
195.,Sam Levitin,USA,SML,,,,190,181,181,90,335,335,145,252,252,,,,,,,118,290,290,157,216,216,1274,5,8,2016
196.,Jeff Felling,USA,Jeff8,193,213,213,266,136,136,186,238,238,173,225,225,,,,158,242,242,165,219,219,,,,1273,6,8,2016
197.,Anna Lamperska,Poland,j0an0,255,170,170,254,143,143,150,270,270,164,226,226,277,130,130,195,206,206,240,145,145,135,251,251,1268,8,8,2016
198.,Nicole Schaedel,Germany,Mira,136,265,265,81,290,290,138,277,277,225,184,184,,,,,,,144,251,251,,,,1267,5,8,2016
199.,Angelika Schobesberger,Austria,,277,161,161,141,225,225,,,,175,225,225,226,169,169,223,183,183,176,205,205,130,251,251,1258,7,8,2016
200.,Joanna Krupa,Poland,foppa,241,174,174,96,271,271,178,244,244,202,198,198,140,258,258,289,109,109,,,,,,,1254,6,8,2016
#,Name,Country,Nick,GP_t1 position,GP_t1 points,GP_t1 rank. points,GP_t2 position,GP_t2 points,GP_t2 rank. points,GP_t3 position,GP_t3 points,GP_t3 rank. points,GP_t4 position,GP_t4 points,GP_t4 rank. points,GP_t5 position,GP_t5 points,GP_t5 rank. points,GP_t6 position,GP_t6 points,GP_t6 rank. points,GP_t7 position,GP_t7 points,GP_t7 rank. points,GP_t8 position,GP_t8 points,GP_t8 rank. points,Points,Played GPs,Total GPs,2016
201.,Pei Lu,Taiwan,Joky,242,174,174,159,209,209,,,,89,349,349,147,251,251,,,,293,75,75,188,178,178,1236,6,8,2016
202.,Ivan Laptiev,Russia,Yason,377,83,83,332,97,97,151,268,268,172,225,225,185,206,206,183,216,216,203,180,180,228,136,136,1231,8,8,2016
203.,Miriam Kates,USA,quijax,323,122,122,262,138,138,249,196,196,118,283,283,301,106,106,170,229,229,243,136,136,142,248,248,1230,8,8,2016
204.,Diana Grigoreva,Russia,,270,164,164,232,151,151,207,224,224,211,198,198,260,145,145,311,72,72,186,201,201,110,288,288,1226,8,8,2016
205.,Saul Glasman,UK,,219,196,196,175,191,191,236,199,199,113,291,291,304,103,103,171,228,228,317,31,31,,,,1208,7,8,2016
206.,Tatiana Padysakova,Slovakia,tanatko,385,78,78,136,226,226,184,240,240,,,,217,174,174,187,212,212,126,276,276,,,,1206,6,8,2016
207.,Maria Angeloudi,Greece,minion,199,206,206,206,168,168,234,204,204,203,198,198,238,165,165,162,238,238,189,192,192,202,168,168,1206,8,8,2016
208.,Daniele Filippone,Italy,bacmag,257,168,168,363,71,71,185,239,239,268,146,146,149,249,249,,,,171,210,210,181,188,188,1200,7,8,2016
209.,Brian Klimek,USA,brianklimek,261,165,165,268,135,135,322,132,132,161,228,228,190,202,202,181,217,217,,,,125,253,253,1200,7,8,2016
210.,Gerda Nádor,Hungary,ingalili,271,164,164,267,136,136,268,178,178,127,275,275,132,268,268,270,131,131,207,178,178,236,128,128,1199,8,8,2016
211.,Daniela Lukáčová,Slovakia,,312,125,125,311,109,109,168,256,256,266,150,150,210,179,179,188,210,210,127,275,275,,,,1195,7,8,2016
212.,Kaari Helstein,Estonia,pisipaha,291,141,141,314,108,108,196,230,230,256,159,159,298,106,106,175,222,222,101,331,331,,,,1191,7,8,2016
213.,Maurizio Corti,Italy,MauFir61,231,189,189,187,185,185,182,242,242,188,213,213,201,187,187,241,168,168,227,161,161,,,,1184,7,8,2016
214.,Αντώνης Λαλάτσας,Greece,term,263,164,164,253,144,144,340,115,115,149,246,246,186,206,206,211,194,194,194,188,188,183,186,186,1184,8,8,2016
215.,Kanz Jacqueline,Germany,LaChica,171,237,237,336,88,88,132,288,288,181,217,217,206,182,182,240,171,171,,,,,,,1183,6,8,2016
216.,Borislav Ilevski Ilevski,Bulgaria,ilevski,218,200,200,316,107,107,233,207,207,330,90,90,262,145,145,234,174,174,179,205,205,134,251,251,1182,8,8,2016
217.,Roger Kohler,Switzerland,ropeko,251,171,171,161,206,206,252,194,194,223,185,185,161,237,237,225,183,183,,,,,,,1176,6,8,2016
218.,David Cook,UK,Cooky,217,200,200,157,209,209,197,230,230,239,169,169,270,135,135,168,233,233,,,,,,,1176,6,8,2016
219.,Lars Slofstra,Netherlands,,99,308,308,,,,121,300,300,110,295,295,,,,,,,131,266,266,,,,1169,4,8,2016
220.,Josh Alman,USA,firebatpi,258,168,168,137,226,226,118,304,304,,,,,,,172,227,227,150,242,242,,,,1167,5,8,2016
221.,Claudia Müller,Germany,pin7guin,223,194,194,272,133,133,,,,269,146,146,220,172,172,191,209,209,182,202,202,145,243,243,1166,7,8,2016
222.,Ewa Gawrońska,Poland,,411,58,58,407,34,34,210,224,224,131,272,272,164,235,235,299,87,87,120,284,284,,,,1160,7,8,2016
223.,Taavi Piller,Estonia,Taavi,,,,122,235,235,102,319,319,333,90,90,259,145,145,,,,267,114,114,143,246,246,1149,6,8,2016
224.,Aditi Seshadri,India,Aditi111,210,200,200,202,170,170,337,115,115,245,162,162,,,,201,200,200,141,253,253,209,163,163,1148,7,8,2016
225.,John Rickert,USA,Rickert,330,119,119,252,144,144,297,149,149,226,180,180,207,181,181,,,,112,298,298,178,189,189,1141,7,8,2016
226.,Karin Luiv,Estonia,Inglitrompet,212,200,200,273,129,129,199,230,230,277,135,135,261,145,145,263,145,145,220,167,167,137,251,251,1138,8,8,2016
227.,HOARAU Tony,France,totohoa,319,125,125,271,134,134,208,224,224,222,186,186,237,165,165,161,238,238,195,185,185,243,123,123,1132,8,8,2016
228.,Hermelin Geoffroy,France,wikmouic,116,283,283,63,336,336,211,223,223,,,,,,,127,282,282,,,,,,,1124,4,8,2016
229.,Allar Padari,Estonia,allar,285,146,146,211,165,165,291,156,156,232,175,175,203,184,184,113,298,298,250,130,130,231,128,128,1124,8,8,2016
230.,Giovanni Frugoli,Italy,Akuma21,61,377,377,,,,,,,,,,,,,,,,74,407,407,80,338,338,1122,3,8,2016
231.,Noriyuki Machimura,Japan,,269,164,164,194,180,180,156,265,265,300,122,122,,,,256,150,150,235,154,154,163,206,206,1119,7,8,2016
232.,Jitka Malcova,Czech Rep.,medvido,275,161,161,228,154,154,169,256,256,283,132,132,173,220,220,287,110,110,275,106,106,173,194,194,1117,8,8,2016
233.,Kanz Patrick,Germany,Alfred Noobel,246,173,173,269,135,135,273,173,173,281,133,133,200,189,189,197,206,206,188,196,196,192,175,175,1112,8,8,2016
234.,Lumír Witoszek,Poland,Lumír,203,203,203,,,,135,286,286,200,200,200,163,235,235,221,184,184,,,,,,,1108,5,8,2016
235.,Miklos Sandor Mocsy,Hungary,,365,93,93,239,148,148,380,70,70,242,165,165,153,244,244,249,155,155,199,181,181,160,212,212,1105,8,8,2016
236.,Legras Jacques,France,Valentin,254,170,170,,,,260,186,186,196,206,206,276,130,130,196,206,206,184,201,201,,,,1099,6,8,2016
237.,Alan Filipin,Croatia,alanfilipin,226,193,193,214,164,164,245,198,198,261,156,156,209,179,179,213,191,191,,,,,,,1081,6,8,2016
238.,Andreas Tsouvalas,Greece,Elric,289,143,143,334,94,94,282,163,163,262,156,156,230,169,169,231,177,177,149,243,243,203,168,168,1076,8,8,2016
239.,Michael Aisen,Canada,maisen,215,200,200,261,139,139,300,148,148,347,71,71,235,166,166,122,290,290,246,132,132,,,,1075,7,8,2016
240.,Randy Rogers,USA,Randiman,185,220,220,,,,326,129,129,157,241,241,184,207,207,274,123,123,232,154,154,,,,1074,6,8,2016
241.,Silke Berendes,Germany,SilBer,175,232,232,153,211,211,256,191,191,124,280,280,,,,250,155,155,,,,,,,1069,5,8,2016
242.,Damian Fawkes,Australia,Kingdamo,404,67,67,285,125,125,302,147,147,210,198,198,,,,189,210,210,197,185,185,168,200,200,1065,7,8,2016
243.,Arvid Baars,Netherlands,Eisbaer,,,,195,180,180,219,219,219,,,,198,189,189,156,244,244,159,232,232,,,,1064,5,8,2016
244.,Paja Skobova,Czech Rep.,pavlinas,288,143,143,189,182,182,224,212,212,301,119,119,245,163,163,177,220,220,,,,221,143,143,1063,7,8,2016
245.,Luka Mernik,Slovenia,lmernik,272,163,163,284,125,125,205,226,226,,,,221,172,172,192,208,208,280,92,92,207,167,167,1061,7,8,2016
246.,Martin Kubík,Czech Rep.,marty,,,,,,,98,322,322,,,,,,,103,315,315,,,,51,422,422,1059,3,8,2016
247.,Alexandre Valérie,France,Distri,143,257,257,127,233,233,312,144,144,228,179,179,,,,,,,146,246,246,,,,1059,5,8,2016
248.,Aoki Takemasa,Japan,gori.sh,235,184,184,,,,,,,,,,249,159,159,137,272,272,191,191,191,141,248,248,1054,5,8,2016
249.,Pavla Varmužková,Czech Rep.,kincka,259,166,166,220,160,160,332,121,121,209,198,198,216,174,174,166,233,233,309,39,39,,,,1052,7,8,2016
250.,Brian Bauer,USA,Eykir,191,216,216,191,181,181,131,290,290,192,212,212,255,148,148,,,,,,,,,,1047,5,8,2016
#,Name,Country,Nick,GP_t1 position,GP_t1 points,GP_t1 rank. points,GP_t2 position,GP_t2 points,GP_t2 rank. points,GP_t3 position,GP_t3 points,GP_t3 rank. points,GP_t4 position,GP_t4 points,GP_t4 rank. points,GP_t5 position,GP_t5 points,GP_t5 rank. points,GP_t6 position,GP_t6 points,GP_t6 rank. points,GP_t7 position,GP_t7 points,GP_t7 rank. points,GP_t8 position,GP_t8 points,GP_t8 rank. points,Points,Played GPs,Total GPs,2016
251.,cedomir milanovic,Serbia,rimodech,68,362,362,,,,91,334,334,88,350,350,,,,,,,,,,,,,1046,3,8,2016
252.,Petr Kuncar,Czech Rep.,goodevil,,,,,,,320,136,136,176,225,225,250,158,158,194,206,206,214,174,174,227,136,136,1035,6,8,2016
253.,Édouard Lebeau,France,mandourin,,,,217,163,163,349,112,112,240,165,165,354,25,25,242,164,164,148,243,243,184,185,185,1032,7,8,2016
254.,Carolyn Duke,Canada,Canuck,321,122,122,219,161,161,405,41,41,270,144,144,214,175,175,216,189,189,187,196,196,206,167,167,1032,8,8,2016
255.,Stephen Worlow,USA,sworls,177,228,228,230,153,153,198,230,230,,,,234,166,166,,,,,,,133,251,251,1028,5,8,2016
256.,Peyman Behmanesh,Iran,Pey Beh,,,,,,,,,,205,198,198,141,258,258,139,271,271,155,238,238,273,61,61,1026,5,8,2016
257.,Hermelin Isabelle,France,elendill,315,125,125,210,165,165,304,147,147,,,,,,,237,172,172,153,240,240,211,163,163,1012,6,8,2016
258.,Natalia Sakowska,Poland,,,,,222,158,158,214,222,222,213,194,194,137,263,263,244,161,161,,,,,,,998,5,8,2016
259.,Hemant Kr Malani,India,,,,,,,,201,230,230,218,188,188,,,,,,,104,315,315,123,262,262,995,4,8,2016
260.,Bruno Rivara,Italy,Bruno61,284,151,151,322,103,103,328,126,126,,,,247,160,160,186,215,215,226,163,163,187,180,180,995,7,8,2016
261.,Yoichi Enta,Japan,enta,293,141,141,255,142,142,215,222,222,253,161,161,296,107,107,295,94,94,228,160,160,201,168,168,994,8,8,2016
262.,Ulla Elsilä,Finland,UllaE,182,223,223,166,201,201,,,,134,266,266,,,,,,,,,,100,297,297,987,4,8,2016
263.,Paul Hlebowitsh,USA,FLEB,,,,142,225,225,203,230,230,155,243,243,,,,124,288,288,,,,,,,986,4,8,2016
264.,Marjo de Krijger,Netherlands,Roos,391,75,75,295,119,119,339,115,115,208,198,198,202,185,185,,,,173,205,205,208,163,163,985,7,8,2016
265.,Janet Zaina,Italy,jane54,306,135,135,,,,288,159,159,350,69,69,133,268,268,229,180,180,,,,194,173,173,984,6,8,2016
266.,David Moulton,USA,Badir,,,,298,118,118,265,179,179,,,,218,173,173,217,189,189,248,132,132,176,190,190,981,6,8,2016
267.,Olga Shut,Belarus,OlgaShut,252,171,171,231,152,152,258,187,187,304,117,117,307,89,89,226,183,183,259,123,123,212,161,161,977,8,8,2016
268.,Janez Valencic,Australia,janez58,266,164,164,249,145,145,391,66,66,204,198,198,263,145,145,247,155,155,218,168,168,244,123,123,975,8,8,2016
269.,Dominik Bojko,Poland,Amoeba,309,130,130,301,116,116,397,58,58,302,117,117,266,142,142,208,196,196,212,174,174,161,211,211,970,8,8,2016
270.,Arko Olesk,Estonia,arko,233,186,186,221,158,158,254,193,193,117,287,287,,,,,,,241,144,144,,,,968,5,8,2016
271.,Ján Morávek,Slovakia,kevaromnaj,237,180,180,251,145,145,335,121,121,299,123,123,180,218,218,,,,201,180,180,260,93,93,967,7,8,2016
272.,Pei Yang,China,,,,,,,,,,,104,306,306,,,,83,350,350,,,,95,303,303,959,3,8,2016
273.,Brian Michalowski,USA,aquamarinelink,286,145,145,379,55,55,179,244,244,315,103,103,251,155,155,258,148,148,224,164,164,271,72,72,959,8,8,2016
274.,Erik Amor,Estonia,,327,121,121,248,145,145,287,159,159,258,157,157,232,169,169,219,188,188,,,,237,128,128,946,7,8,2016
275.,Witold Rosinski,Poland,,213,200,200,238,148,148,,,,,,,,,,184,216,216,156,235,235,219,145,145,944,5,8,2016
276.,Francesca Pedrielli,Italy,dadency,296,139,139,384,55,55,235,201,201,180,218,218,199,189,189,340,18,18,269,113,113,265,82,82,942,8,8,2016
277.,Steve Brooks,USA,,290,142,142,245,145,145,269,178,178,170,225,225,233,167,167,308,81,81,315,37,37,,,,938,7,8,2016
278.,Elin Mandel,Estonia,,276,161,161,226,155,155,,,,,,,295,108,108,255,150,150,213,174,174,180,189,189,937,6,8,2016
279.,Hugo van Rooijen,Netherlands,,281,155,155,,,,325,131,131,237,171,171,284,122,122,214,191,191,,,,216,156,156,926,6,8,2016
280.,Demoed Marleen,Netherlands,marleen78,378,83,83,290,122,122,350,111,111,216,192,192,191,201,201,284,112,112,215,174,174,,,,912,7,8,2016
281.,Anna Poots,Estonia,,244,174,174,275,129,129,,,,341,83,83,193,198,198,266,140,140,272,110,110,218,154,154,905,7,8,2016
282.,esra aydemir,Turkey,aras,148,247,247,60,342,342,,,,,,,,,,,,,107,307,307,,,,896,3,8,2016
283.,Shaheer Rahman,India,shera90,,,,,,,,,,56,427,427,322,72,72,,,,82,383,383,,,,882,3,8,2016
284.,Dmytro Furayev,Ukraine,,278,158,158,281,126,126,267,179,179,236,171,171,289,117,117,272,127,127,279,92,92,,,,878,7,8,2016
285.,Nicholas Whitehead,USA,njwhitehead,204,202,202,172,193,193,358,98,98,235,172,172,342,47,47,,,,225,164,164,,,,876,6,8,2016
286.,Deyan Razsadov,Bulgaria,Deyan,188,218,218,88,285,285,,,,199,201,201,224,170,170,,,,,,,,,,874,4,8,2016
287.,Magdalena Bernacik,Poland,,,,,,,,34,511,511,85,362,362,,,,,,,,,,,,,873,2,8,2016
288.,Jana Zachova,Czech Rep.,jana70,282,154,154,234,150,150,261,185,185,224,185,185,194,198,198,,,,,,,,,,872,5,8,2016
289.,맹환 김,"Korea, South",call_ace,,,,,,,,,,195,206,206,254,148,148,207,197,197,183,201,201,249,112,112,864,5,8,2016
290.,Veronique Pelassa,France,,402,67,67,292,120,120,333,121,121,249,162,162,294,109,109,276,120,120,263,117,117,154,223,223,863,8,8,2016
291.,MACHIMURA TERUMI,Japan,,362,97,97,376,58,58,327,127,127,254,161,161,,,,169,230,230,278,104,104,222,143,143,862,7,8,2016
292.,Andreas Klier,Germany,Gitarrentier,273,162,162,160,208,208,162,263,263,178,220,220,,,,,,,,,,,,,853,4,8,2016
293.,Matej Vyparina,Slovakia,,198,209,209,197,174,174,238,198,198,169,225,225,339,47,47,,,,,,,,,,853,5,8,2016
294.,Gene Rendino,USA,GeneR,329,119,119,,,,242,198,198,292,129,129,330,72,72,251,155,155,292,76,76,193,174,174,851,7,8,2016
295.,Marek Reda,Poland,,,,,,,,,,,,,,243,164,164,218,188,188,115,292,292,166,204,204,848,4,8,2016
296.,Ricardo Garcia,Spain,RickiFerrara,410,63,63,326,100,100,353,106,106,284,130,130,286,118,118,238,172,172,192,190,190,233,128,128,844,8,8,2016
297.,Zuzana Dortová,Czech Rep.,Nekra,335,116,116,257,141,141,357,99,99,231,175,175,293,109,109,316,67,67,234,154,154,223,142,142,837,8,8,2016
298.,Nathan Ruhde,USA,,279,158,158,328,99,99,123,297,297,,,,320,77,77,318,62,62,,,,225,141,141,834,6,8,2016
299.,Hisashi Yamamoto,Japan,tarosan,,,,,,,,,,,,,,,,,,,64,439,439,59,394,394,833,2,8,2016
300.,Danny Mahoney,USA,Angle Gold,,,,247,145,145,166,257,257,329,93,93,,,,193,208,208,253,129,129,,,,832,5,8,2016
#,Name,Country,Nick,GP_t1 position,GP_t1 points,GP_t1 rank. points,GP_t2 position,GP_t2 points,GP_t2 rank. points,GP_t3 position,GP_t3 points,GP_t3 rank. points,GP_t4 position,GP_t4 points,GP_t4 rank. points,GP_t5 position,GP_t5 points,GP_t5 rank. points,GP_t6 position,GP_t6 points,GP_t6 rank. points,GP_t7 position,GP_t7 points,GP_t7 rank. points,GP_t8 position,GP_t8 points,GP_t8 rank. points,Points,Played GPs,Total GPs,2016
301.,Tammy McLeod,USA,,113,284,284,,,,316,141,141,338,90,90,,,,107,310,310,,,,,,,825,4,8,2016
302.,Svilen Dyakovski,Bulgaria,sdyakovski,161,241,241,62,337,337,180,243,243,,,,,,,,,,,,,,,,821,3,8,2016
303.,Ravi chandran,India,ravilp,355,99,99,343,80,80,240,198,198,321,96,96,324,72,72,,,,200,180,180,198,168,168,821,7,8,2016
304.,Terka Kounovská,Czech Rep.,krytterka,346,103,103,335,90,90,317,140,140,,,,,,,199,204,204,270,112,112,199,168,168,817,6,8,2016
305.,Miroslav Šuňavec,Slovakia,taurus,,,,225,156,156,264,181,181,306,115,115,271,135,135,268,137,137,283,90,90,,,,814,6,8,2016
306.,Jakub Majewski,Poland,Kubix,,,,,,,59,418,418,,,,,,,67,395,395,,,,,,,813,2,8,2016
307.,Markus Schindler,Germany,bismarck,200,205,205,264,136,136,191,235,235,,,,165,234,234,,,,,,,,,,810,4,8,2016
308.,Gordon Lessells,Ireland,GSL,379,83,83,402,35,35,276,172,172,367,34,34,236,166,166,303,84,84,216,174,174,235,128,128,807,8,8,2016
309.,Veronika Lengauer,Germany,garganegra,325,121,121,317,106,106,323,132,132,229,179,179,143,254,254,,,,,,,,,,792,5,8,2016
310.,Daisuke TAKEI,Japan,hotondo,,,,,,,,,,,,,9,786.7,786.7,,,,,,,,,,786.7,1,8,2016
311.,Jeffrey Baker,USA,jefjiljuljenjon,341,109,109,324,101,101,381,70,70,318,102,102,258,146,146,269,137,137,211,175,175,253,107,107,776,8,8,2016
312.,Beate Hammes,Germany,,336,116,116,337,84,84,246,198,198,343,83,83,308,87,87,,,,236,154,154,241,123,123,762,7,8,2016
313.,Benjamin Wearn,USA,starmusic,313,125,125,242,145,145,360,98,98,,,,268,140,140,264,144,144,276,106,106,282,55,55,758,7,8,2016
314.,Villem Mesila,Estonia,,189,218,218,113,250,250,309,146,146,272,138,138,,,,,,,,,,,,,752,4,8,2016
315.,Howard Wilkinson,Estonia,HWHW,145,252,252,144,222,222,145,272,272,,,,,,,,,,,,,,,,746,3,8,2016
316.,Stöhr Marion,Germany,,295,140,140,,,,262,182,182,282,133,133,,,,,,,119,287,287,,,,742,4,8,2016
317.,Maria Graber,Germany,maria90,69,360,360,,,,,,,73,380,380,,,,,,,,,,,,,740,2,8,2016
318.,Jill Ho Tai,USA,Jill H,292,141,141,303,115,115,341,115,115,271,144,144,,,,275,123,123,294,73,73,255,102,102,740,7,8,2016
319.,Katarina Simonovicova,Slovakia,delfinik6,,,,,,,247,197,197,290,129,129,212,177,177,,,,,,,149,234,234,737,4,8,2016
320.,sladjana milojkovic,Serbia,med,132,267,267,185,188,188,,,,,,,125,278,278,,,,,,,,,,733,3,8,2016
321.,sara martin,Italy,,227,192,192,265,136,136,190,236,236,360,55,55,291,114,114,,,,,,,,,,733,5,8,2016
322.,Robert Herceg,USA,bob,,,,223,156,156,292,156,156,197,204,204,183,211,211,,,,,,,,,,727,4,8,2016
323.,Danielle Hoja,Germany,,197,211,211,183,189,189,295,153,153,,,,219,173,173,,,,,,,,,,726,4,8,2016
324.,Robin Wevers,Netherlands,,358,99,99,236,149,149,336,117,117,374,33,33,252,152,152,235,173,173,,,,,,,723,6,8,2016
325.,James Anderson,USA,thejk47,348,103,103,391,54,54,315,144,144,,,,187,205,205,,,,,,,159,215,215,721,5,8,2016
326.,David Lacey,Australia,,,,,306,111,111,348,114,114,328,94,94,292,111,111,307,81,81,252,130,130,217,156,156,716,7,8,2016
327.,Ruben Gafencu,Romania,rubbeng,,,,,,,,,,,,,,,,,,,85,375,375,78,339,339,714,2,8,2016
328.,Michael Fermaglich,USA,,322,122,122,396,39,39,307,147,147,311,111,111,310,83,83,,,,170,210,210,,,,712,6,8,2016
329.,Wojciech Gryciuk,Poland,wgryciuk,368,93,93,405,34,34,356,101,101,326,94,94,267,141,141,260,148,148,245,133,133,289,35,35,710,8,8,2016
330.,Hikaru Muraoka,Japan,k_night,,,,,,,,,,,,,,,,153,249,249,55,459,459,,,,708,2,8,2016
331.,Łukasz Marzec,Poland,zabijaka82,344,107,107,412,34,34,296,150,150,265,153,153,346,43,43,,,,229,159,159,258,93,93,705,7,8,2016
332.,Jörg Schröder,Germany,zeilenspalter,320,125,125,177,190,190,253,194,194,297,123,123,323,72,72,,,,,,,,,,704,5,8,2016
333.,Claudia Sala,Italy,evilove,,,,,,,,,,260,156,156,341,47,47,232,174,174,239,150,150,191,176,176,703,5,8,2016
334.,Jana Vodičková,Czech Rep.,Janka,72,358,358,,,,88,341,341,,,,,,,,,,,,,,,,699,2,8,2016
335.,Friedhelm Fricke,Germany,badfried,345,105,105,,,,,,,182,217,217,,,,215,189,189,,,,186,180,180,691,4,8,2016
336.,Raphael Lehrer,USA,RALehrer,151,246,246,134,228,228,223,213,213,,,,,,,,,,,,,,,,687,3,8,2016
