Nonoff,Official,Playoff,Name 1,Name 2,Country,Team,Result,Part 1,Part 2,Part 3,Part 4,Part 5,Part 6,Part 7,Part 8,Part 9,Part 10
52,50,,Salih,Alan,Turkey,TUR-A,2014,112,0,335,135,260,150,295,340,345,42
53,51,,Sarah,Ratcliffe,Australia,AUS-A,1987,102,180,370,175,90,185,270,230,195,190
54,52,,Riad,Khanmagomedov,Russia,UN-02,1973,52,111,270,185,265,320,190,290,140,150
55,53,,Wei-Hwa,Huang,USA,USA-A,1971,114,42,265,240,80,335,225,335,175,160
56,54,,Tejal,Phatak,India,IND-A,1966,130,0,330,255,160,325,205,315,190,56
57,55,,Chao,Li,China,UN-04,1960,102,78,385,100,235,315,215,240,110,180
58,56,,Annick,Weyzig,Netherlands,UN-03,1929,72,102,235,135,195,255,240,270,265,160
59,57,,Denis,Auroux,France,FRA-B,1923,116,190,190,185,225,250,160,355,160,92
60,58,,Ivana,Štiptová,Slovakia,SVK-A,1943,88,18,385,235,175,255,225,290,245,27
61,59,,Zrinka,Kokot,Croatia,CRO-A,1874,54,200,205,185,215,180,195,325,140,175
62,60,,Paweł,Rachel,Poland,POL-A,1868,90,108,210,185,245,250,140,305,190,145
63,61,,Zoran,Таnasić,Serbia,SRB-A,1851,76,0,255,125,180,355,190,380,175,115
64,62,,Yuka,Jo,Japan,JPN-A,1847,84,75,315,185,200,185,215,305,185,98
65,63,,Taner,Karabulut,Turkey,TUR-A,1828,62,102,360,135,170,275,185,375,155,9
66,64,,Serkan,Yürekli,Turkey,TUR-A,1821,94,0,295,140,180,240,225,420,115,112
67,65,,Joëlle,Rasneur,Belgium,BEL-A,1818,82,0,365,125,265,290,205,235,145,106
68,66,,Kerstin,Wöge,Germany,GER-B,1810,76,0,375,150,130,245,265,305,230,34
69,,,Jiří,Hrdina,Czech Republic,CZE-B,1809,48,18,275,165,265,345,200,305,115,73
70,67,,Stefano,Forcolin,Italy,ITA-A,1789,100,129,210,240,150,245,160,230,145,180
71,68,,Pavel,Jaselský,Slovakia,SVK-A,1788,122,33,430,165,155,110,280,250,220,23
72,69,,Agnieszka,Buczma,Poland,POL-A,1781,56,0,330,185,255,260,185,295,95,120
73,,,Aline,Koch,France,FRA-B,1739,66,63,220,235,80,215,220,330,160,150
74,70,,Kuo-an,Li,Chinese Taipei,UN-11,1736,60,48,405,185,170,120,255,155,300,38
75,,,Isabelle,Gall,Germany,GER-B,1731,80,21,260,205,170,190,215,220,230,140
76,71,,Prasanna,Seshadri,India,IND-A,1725,52,120,270,110,160,285,195,275,235,23
77,72,,Deyan,Razsadov,Bulgaria,UN-02,1723,50,153,240,200,130,260,150,280,105,155
78,73,,Maho,Yokota,Japan,JPN-A,1717,128,84,170,75,120,355,175,355,105,150
79,74,,Michael,Collins,United Kingdom,GBR-A,1713,56,18,280,100,255,215,180,335,130,144
80,75,,Schambourg,Judith,Luxembourg,UN-01,1699,102,195,325,100,130,205,210,215,145,72
81,76,,Tatsuya,Yamamoto,Japan,UN-04,1683,78,240,210,185,150,185,185,160,145,145
82,77,,Vladimir,Portugalov,Belarus,UN-05,1663,64,120,235,160,185,280,170,310,105,34
83,78,,Dragan,Tolomanoski,Bosnia and Herzegovina,UN-05,1655,64,99,270,135,120,220,190,290,130,137
84,79,,Guixin,Lin,China,CHN-A,1651,102,0,365,165,160,220,225,250,125,39
85,80,,Eric,Laermans,Belgium,BEL-A,1614,62,147,310,195,135,245,145,155,170,50
86,81,,Tamás,Csizmazia,Hungary,HUN-A,1614,80,54,240,120,160,315,185,200,105,155
87,82,,Thiry,Claudine,Luxembourg,UN-01,1612,86,42,365,200,195,300,95,60,235,34
88,83,,Gülce Senem,Özkütük Yürekli,Turkey,UN-05,1599,98,72,345,90,200,210,215,250,60,59
89,84,,Yanzhe,Qiu,China,UN-04,1595,76,96,320,50,215,145,190,265,205,33
90,85,,Menglei,Ma,China,CHN-A,1579,100,21,315,185,190,120,245,220,145,38
91,86,,Derek,Kisman,Canada,UN-08,1565,74,48,165,145,175,250,160,310,160,78
92,87,,Giulia,Franceschini,Italy,ITA-A,1548,52,72,310,95,125,285,205,210,130,64
93,88,,Paweł,Kępczyński,Poland,UN-10,1544,62,185,180,60,130,260,140,340,160,27
94,89,,Čedomir,Milanović,Serbia,SRB-A,1544,94,185,130,140,130,145,135,290,140,155
95,,,Torsten,Rogoll,Germany,GER-B,1522,68,24,295,85,120,225,255,200,230,20
96,90,,Delia,Keetman,Netherlands,UN-03,1516,82,105,335,135,155,225,160,180,125,14
97,91,,Mario,Živković,Croatia,CRO-A,1497,78,9,260,175,170,185,220,155,175,70
98,92,,Dave,Baines,Canada,UN-08,1463,120,15,240,160,170,255,115,240,140,8
99,93,,Łukasz,Kalinowski,Poland,UN-10,1455,68,96,210,185,190,145,110,205,140,106
100,94,,Maarit,Ryynänen,Finland,FIN-A,1445,62,27,325,115,185,205,105,250,145,26
101,95,,Tamás,Antal,Hungary,HUN-B,1436,44,75,170,160,185,210,175,285,130,2
102,96,,Ulla,Elsilä,Finland,FIN-A,1423,40,57,265,120,130,180,120,245,160,106
103,,,Jean-Christophe,Novelli,France,FRA-B,1407,56,51,225,85,170,245,150,245,140,40
104,97,,Rauno,Pärnits,Estonia,UN-11,1384,96,12,250,185,125,110,160,215,145,86
105,,,Lenka,Vávrová,Czech Republic,UN-09,1365,64,0,275,135,155,150,215,150,170,51
106,98,,Olga,Diaz,Spain,UN-07,1359,66,0,230,185,120,150,215,190,195,8
107,99,,Fatih Kamer,Anda,Turkey,TUR-B,1354,52,63,260,135,70,175,185,175,95,144
108,100,,Philippe,Niederkorn,Belgium,BEL-A,1340,56,39,195,135,120,180,140,255,60,160
109,,,Blanka,Lehotská,Slovakia,SVK-B,1319,58,132,250,95,90,190,150,155,135,64
110,101,,Rajesh,Kumar,India,UN-07,1314,20,6,210,75,130,220,160,225,180,88
111,102,,Janus Kayser,Gjøe,Denmark,UN-07,1288,68,96,205,85,130,180,215,135,140,34
112,103,,Anthonis,Noor,Belgium,UN-11,1267,48,0,205,75,90,235,130,260,150,74
113,104,,Henning Kalsgaard,Poulsen,Denmark,UN-07,1253,58,0,295,75,110,150,215,195,115,40
114,105,,Viktor,Lapis,Hungary,HUN-A,1235,86,84,280,140,185,140,0,0,165,155
115,106,,Marco,Montebelli,Italy,ITA-A,1225,64,9,240,135,125,110,155,185,190,12
116,107,,Yoichi,Enta,Japan,UN-04,1224,48,27,145,95,170,210,135,255,95,44
117,108,,Dino,Janković,Croatia,CRO-A,1203,98,3,205,165,80,120,155,230,105,42
118,109,,Katalin Szalayné,Stolmár,Hungary,HUN-A,1201,58,15,185,125,170,180,160,190,80,38
119,,,Gianluca,Mancuso,Italy,UN-10,1196,80,0,285,75,30,120,215,150,230,11
120,110,,Péter,Szentkúti,Hungary,HUN-A,1179,64,0,280,110,190,120,210,60,125,20
121,111,,Arko,Olesk,Estonia,EST-A,1179,44,45,225,85,90,105,170,280,95,40
122,,,Martin,Krebs,Slovakia,SVK-B,1131,68,12,230,85,215,80,120,175,120,26
123,112,,Mike,Colloby,United Kingdom,UN-06,1126,44,0,225,45,120,120,185,115,215,57
124,113,,Kristel,Arnik,Estonia,EST-A,1107,54,57,205,135,110,105,150,150,125,16
125,114,,Christof,Bruetsch,Switzerland,SUI-A,1104,30,105,235,85,125,80,135,130,135,44
126,115,,Jouni,Särkijärvi,Finland,UN-03,1101,66,0,260,110,40,190,155,155,80,45
127,,,Ömer Faruk,Yatkın,Turkey,TUR-B,1081,44,42,135,135,120,180,150,195,60,20
128,116,,Thanos,Darkadakis,Greece,GRE-A,1068,46,33,175,135,90,205,110,150,100,24
129,117,,Nick,Baxter,USA,UN-08,1046,50,126,150,85,120,140,85,105,60,125
130,118,,Olga,Shut,Belarus,UN-05,1021,54,3,150,95,110,180,110,255,60,4
131,,,Hüseyin,Güngör,Turkey,TUR-B,1019,52,0,150,125,130,145,120,135,150,12
132,119,,David,Collison,United Kingdom,GBR-A,982,88,0,145,135,40,100,195,130,145,4
133,,,Gerda,Nádor,Hungary,HUN-B,970,38,0,160,45,130,180,165,100,140,12
134,120,,Kertu,Majas,Estonia,EST-A,950,68,0,265,100,40,0,195,120,145,17
135,121,,Erika,Földesi,Hungary,HUN-B,942,40,63,155,85,80,110,100,215,45,49
136,,,Christoph,Seeliger,Germany,UN-09,910,72,0,115,85,90,220,105,90,95,38
137,122,,Vasso,Kalaitzidou,Greece,GRE-A,903,70,33,185,85,145,40,135,75,60,75
138,123,,Gareth,Moore,United Kingdom,UN-06,890,80,12,215,35,95,170,110,115,30,28
139,124,,Liisa,Sarakontu,Finland,UN-03,864,50,54,120,85,80,110,100,150,65,50
140,125,,Markus,Roth,Switzerland,SUI-A,860,40,18,125,85,70,80,90,200,50,102
141,,,Zdeněk,,Vodička,UN-09,858,80,0,175,95,70,40,140,105,140,13
142,126,,Borislav,Ilevski,Bulgaria,UN-02,841,52,0,195,85,40,40,115,100,140,74
143,,,İsmail,Kaçmaz,Turkey,TUR-B,827,72,0,155,95,40,140,140,125,60,0
144,127,,Eeva,Teräsvuori,Finland,FIN-A,786,42,18,225,85,90,40,165,40,65,16
145,128,,Giannis,Lelegiannis,Greece,GRE-A,752,64,0,135,135,80,40,90,135,45,28
146,129,,Gabriele,Quaresima,Italy,ITA-A,749,84,0,180,125,40,0,160,75,45,40
147,130,,Nick,Gardner,United Kingdom,UN-06,733,70,0,150,70,80,40,105,65,95,58
148,,,Sara,Martin,Italy,UN-10,705,52,0,185,10,90,40,190,35,95,8
149,131,,Siniša,Hrga,Croatia,UN-11,659,62,0,130,95,40,0,90,105,110,27
150,132,,William George,Swan,Australia,AUS-A,547,60,0,80,45,80,0,120,80,80,2
151,,,Judit Tőriné,Dargó,Hungary,HUN-B,541,56,0,135,75,0,40,90,80,65,0
152,133,,Georgi,Georgiev,Bulgaria,UN-02,504,38,0,120,75,50,0,110,35,60,16
153,134,,Jillian,Banks,Australia,AUS-A,398,34,0,60,35,40,0,110,35,80,4
154,135,,Christiana,Karakigianou,Greece,GRE-A,375,32,0,115,0,90,0,85,0,45,8
155,136,,Esther,Naef,Switzerland,SUI-A,312,52,0,70,20,40,0,60,40,30,0
