Official Rank   (w/o ties),Individual (before and after playoffs),Team,Official Comp.,(F)irst Time / (O)ver 50 / (U)nder 19,Total Score,Rd. 1,Rd. 2,Rd. 3,Rd. 4,Rd. 5,Rd. 6,Rd. 7,Rd. 8,Rd. 9,Rd. 10
28,"ERTURAN, CAN",TUR-A,Y,U,3250,395,305,385,325,375,265,395,260,225,320
29,"ALAN, SALIH",TUR-A,Y,,3241,400,270,285,205,345,351,505,265,310,305
30,"GYIMESI, ZOLTÁN",HUN-A,Y,,3205,400,315,320,215,305,345,390,255,320,340
,"ANDERSON, WALKER",USA-C,,,3200,355,280,385,215,295,370,260,300,290,450
31,"LEE, HWANGRAE",UN-5,Y,,3170,325,350,270,325,345,330,345,300,260,320
32,"HUDÁK, PETER",SVK-A,Y,,3125,400,175,385,340,330,345,345,225,450,130
,"MEYAPIN, YANNICK",UN-5,,,3125,400,375,270,240,355,510,450,160,300,65
33,"CHANOVÁ, NATÁLIA",SVK-A,Y,,3120,250,345,475,260,390,345,390,160,155,350
34,"BEENHAKKER, CHIEL",NED-A,Y,,3115,400,340,240,250,375,300,390,225,360,235
35,"JASELSKÝ, PAVEL",SVK-A,Y,,3101,380,315,375,325,215,456,340,160,330,205
,"SEKIYA, NAOKI",JPN-B,,,3070,315,215,365,250,295,370,410,270,300,280
36,"SCHUKERT, EVA",UN-3,Y,,3060,375,335,390,370,400,180,280,140,210,380
37,"KÖNIG, CHRISTIAN",GER-A,Y,,3010,285,245,365,140,265,470,250,135,460,395
,"WANG, ANDERSON",USA-B,,,3005,355,315,310,325,300,370,220,220,285,305
38,"PIIBELEHT, TIIT HENDRIK",EST-A,Y,,2856,215,330,365,260,330,381,390,205,225,155
,"LUO, THOMAS",USA-B,,,2840,280,190,285,305,220,370,195,250,340,405
39,"YAKA, HATICE ESRA",TUR-A,Y,,2800,285,310,95,280,260,330,355,230,315,340
40,"SUN, KEVIN",CAN-A,Y,,2790,240,245,360,315,285,490,195,270,150,240
,"KATZ, DAN",USA-B,,,2770,240,280,295,260,355,330,325,115,345,225
,"GAŠPÁR, ŠTEFAN",SVK-B,,,2755,245,185,335,185,330,300,305,215,315,340
41,"GOODLIFFE, MARK",UK-A,Y,O,2735,140,265,225,305,315,350,410,270,260,195
42,"BRATIM, TINA",CRO-A,Y,U,2696,275,255,335,185,270,276,305,310,230,255
43,"SIDOROV, HANNES",EST-A,Y,F,2670,335,315,265,185,285,300,305,215,310,155
44,"KOHEN, BERI",TUR-A,Y,,2635,335,315,200,250,330,370,305,205,155,170
45,"LIMOGES, ANNE",FRA-A,Y,,2635,330,265,385,285,265,350,85,250,210,210
46,"ZUSSMAN, NEIL",UK-A,Y,,2635,285,210,275,150,205,340,280,305,275,310
,"KAWASAKI, TAKESHI",JPN-B,,,2610,285,305,380,250,330,225,305,135,175,220
47,"KEETMAN, DENNIS",NED-A,Y,,2610,275,315,360,330,100,345,225,160,300,200
,"WÖGE, KERSTIN",GER-B,,,2535,285,355,225,250,275,300,410,100,220,115
48,"HUANG, WEI-HWA",USA-A,Y,,2520,280,175,295,225,175,370,195,290,280,235
49,"HERKE, GYÖRGY",HUN-A,Y,,2510,250,165,280,355,230,300,240,180,245,265
,"WEYZIG, ANNICK",NED-B,,,2490,295,305,280,260,255,150,250,210,245,240
,"KITAGAWA, TSUKIKO",JPN-B,,F,2480,305,305,265,185,220,300,260,180,260,200
,"GÜNTHER, SUSANNE",GER-B,,,2460,290,210,360,215,220,230,260,185,225,265
50,"MAILER, CALUM",UK-A,Y,F,2455,250,185,220,205,275,345,250,205,225,295
,"AUROUX, DENIS",FRA-B,,,2445,220,225,290,205,210,230,250,220,315,280
51,"HONG, SEONGHWA",UN-5,Y,,2381,325,315,240,175,225,276,250,210,210,155
,"ŠKRHOVÁ, DIANA",SVK-B,,,2330,190,245,260,150,220,220,340,195,255,255
,"MOTLÍČEK, ONDŘEJ",CZE-B,,F,2300,275,200,170,260,150,300,195,230,140,380
,"LARSEN, VICTOR",USA-C,,F,2290,305,215,215,240,160,300,185,200,250,220
52,"MEYER, PHILIPPE",FRA-A,Y,O,2275,285,245,150,285,205,270,195,175,250,215
,"WEISS, PHILIPP",GER-B,,,2265,240,205,265,210,225,200,0,230,360,330
53,"TARCHETTI, LAURA",ITA-A,Y,O,2245,230,320,270,185,300,100,250,265,145,180
,"ASHFORD, ZOË",UN-1,,F,2225,255,245,315,110,160,300,215,255,170,200
54,"ZENTGRAF, JÖRG",GER-A,Y,,2205,265,220,360,185,165,270,165,130,150,295
55,"KROLL, CHARLOTTE",GER-A,Y,,2201,330,245,140,260,270,206,290,160,200,100
56,"THIRY, CLAUDINE",UN-3,Y,O,2200,280,200,290,185,125,345,290,125,180,180
57,"MADARASSY, PÁL",HUN-A,Y,,2189,330,205,150,80,190,264,220,245,195,310
58,"DANZO, AUBIN",FRA-A,Y,,2185,265,195,210,140,265,300,205,250,180,175
,"ANDO, TAIGO",UN-4,,,2170,260,210,155,260,190,300,205,185,225,180
59,"PURK, TAURI",EST-A,Y,,2130,220,450,270,100,150,300,250,75,260,55
60,"STEFANOV, SVETLOZAR",BUL-A,Y,O,2120,140,215,205,140,285,220,340,200,175,200
,"ZUCKER, JOSHUA",USA-C,,O,2120,260,130,120,230,270,200,260,215,285,150
,"KOCKA, PAVEL",CZE-B,,,2115,180,245,120,175,245,300,395,155,125,175
,"VODIČKOVÁ, JANA",CZE-B,,,2095,200,185,215,185,220,180,260,160,235,255
61,"ANGELOV, ALEXANDER",BUL-A,Y,,2090,230,235,350,195,205,300,250,70,150,105
,"RUDOLPH, LARISSA",UN-12,,,2086,235,195,270,110,210,276,165,200,160,265
62,"KOHLER, ROGER",SUI-A,Y,,2065,190,160,295,110,225,220,155,205,235,270
63,"HOEXUM, MARIËLLE",NED-A,Y,F,2035,285,255,175,45,160,300,170,260,225,160
,"MÖHLER, VERENA",GER-B,,F,2006,260,160,185,195,235,276,195,100,285,115
,"BISSETT, ADAM",UN-1,,,1939,280,140,310,80,170,184,155,200,165,255
,"ŠALAGA, MIROSLAV",SVK-B,,O,1935,190,210,240,110,245,180,155,185,255,165
,"GARÇONNET, OLIVIER",FRA-C,,,1905,170,190,215,190,140,200,130,195,205,270
64,"COSSUTTI, GIULIA",ITA-A,Y,,1900,215,155,270,150,110,220,195,195,190,200
65,"DALACH, ANDRZEJ",POL-A,Y,,1900,165,185,240,185,185,180,265,185,175,135
,"MIAKINEN, VALENTIN",FRA-B,,FU,1880,235,185,200,195,235,150,95,115,225,245
,"SWEEP, MARK",NED-B,,F,1870,75,120,270,140,240,230,140,225,250,180
66,"KOVÁCS, BENEDEK",HUN-A,Y,F,1835,230,165,270,185,105,180,140,140,215,205
67,"AIVAZOPOULOU, ELENA",UN-8,Y,O,1825,210,220,305,150,205,220,205,95,140,75
68,"GEORGIEV, IVAN",BUL-A,Y,,1819,190,140,235,195,170,164,155,235,195,140
,"DYAKOVSKI, SVILEN",UN-6,,O,1805,160,220,255,175,60,300,305,165,50,115
,"IGNACIUK, MACIEJ",UN-10,,FU,1800,190,180,255,120,110,180,170,195,200,200
69,"RAZSADOV, DEYAN",BUL-A,Y,O,1800,215,185,255,155,175,180,150,130,175,180
,"MILLER, TIM",USA-C,,,1775,235,105,200,45,215,180,195,220,150,230
70,"ELSILÄ, ULLA",FIN-A,Y,O,1770,190,185,170,175,220,80,195,160,210,185
,"CATINOT, NATHALIE",FRA-B,,,1761,180,220,185,185,60,156,305,160,185,125
71,"MACHACON, ALEC PIUS",UN-11,Y,,1654,250,270,115,140,110,164,195,160,185,65
72,"JOVANOVIC, VESNA",SRB-A,Y,O,1650,260,155,150,185,130,180,160,145,210,75
73,"BUCZMA, AGNIESZKA",POL-A,Y,,1645,215,185,185,110,150,180,140,145,165,170
74,"COLLINS, MICHAEL",UK-A,Y,O,1635,145,245,105,140,95,180,195,155,220,155
,"GYIMESI, PÉTER",UN-12,,,1635,115,175,220,130,160,200,125,55,155,300
75,"FRIES, JEANNETTE",SUI-A,Y,O,1630,185,185,225,250,115,180,195,100,75,120
,"UPPELSCHOTEN, RICK",NED-B,,,1620,120,185,270,175,215,180,205,145,0,125
76,"MARKOVINOVIĆ, FABJAN",CRO-A,Y,FU,1600,110,200,205,140,165,180,195,145,150,110
,"LEHTO, KRISTI",EST-B,,,1595,170,170,170,175,160,220,140,185,145,60
,"FOKKEMA, WOUTER",NED-B,,,1590,115,150,150,80,165,150,195,210,195,180
,"PIPÓ, FANNI",UN-10,,,1585,165,205,265,100,50,100,410,100,65,125
,"SCHMIERMANN, REINIER",UN-7,,F,1585,170,150,205,110,105,230,140,105,175,195
77,"KALAITZIDOU, VASSO",UN-8,Y,,1575,160,165,215,195,205,180,270,70,40,75
78,"KOROTKEVICH, GENNADY",UN-2,Y,F,1570,210,140,185,120,120,180,95,110,240,170
79,"WATTANAWAROON, TANA",THA-A,Y,,1566,165,140,220,100,155,156,195,130,165,140
,"KISMAN, DEREK",UN-2,,,1550,190,105,115,140,205,180,140,105,165,205
80,"WEIR, JERRY",CAN-A,Y,O,1525,230,140,200,120,120,220,260,100,50,85
,"BERENDES, SILKE",UN-3,,,1505,170,140,150,140,95,180,140,155,155,180
,"PROUVOST, MATHILDE",FRA-B,,,1505,120,140,250,140,155,150,85,155,185,125
,"STACKHOUSE, SHAWN",CAN-B,,F,1485,190,125,200,130,110,180,95,155,145,155
,"DEMSYN-JONES, RICHARD",CAN-B,,F,1445,110,185,135,45,235,180,150,130,160,115
,"LENGAUER, VERONIKA",UN-12,,O,1420,185,140,240,45,105,200,95,155,115,140
81,"RYYNÄNEN, MAARIT",FIN-A,Y,,1381,135,70,190,45,175,176,155,130,125,180
,"HORNÁK, PETER",SVK-B,,,1365,160,245,270,45,45,150,165,55,115,115
82,"MARTIN, SARA",ITA-A,Y,,1355,135,295,55,0,0,0,335,225,195,115
,"KLEMENT, RIHO",EST-B,,,1335,175,165,170,110,155,180,100,30,150,100
,"PLASSMANN, VOLKER",UN-12,,,1325,190,160,55,140,110,180,110,55,205,120
83,"POULSEN, HENNING KALSGAARD",UN-6,Y,O,1315,165,220,200,65,105,180,210,100,70,0
,"JOSS, SCOTT",UN-2,,F,1265,50,140,135,130,150,150,140,130,130,110
,"REINTAL, CHRIS",EST-B,,,1255,95,200,120,0,150,180,140,55,110,205
84,"BUYUKKALE, YUNUS EMRE",TUR-B,Y,,1245,195,60,150,65,190,100,140,110,150,85
85,"FILIPPINI, ALBERTO",ITA-A,Y,O,1230,135,165,115,45,155,80,155,195,60,125
,"CHANG, BECCA",USA-B,,,1225,160,175,135,0,150,180,95,100,60,170
,"DUKE, CAROLYN",CAN-B,,O,1215,165,25,200,120,160,150,140,75,140,40
,"NAKANO, AOI",UN-4,,F,1145,120,60,150,55,100,185,40,105,205,125
,"BENEDICTUS, SASKIA",UN-7,,O,1110,75,80,175,100,170,150,85,100,50,125
86,"RABAR, IVA",CRO-A,Y,FU,1095,110,140,100,65,160,180,45,155,80,60
87,"BOROZAN, TONI",CRO-A,Y,FU,1061,110,95,80,120,150,156,85,75,90,100
88,"SÄRKIJÄRVI, JOUNI",FIN-A,Y,O,1055,110,60,200,45,160,150,140,100,90,0
,"LIGNON, OLIVIER",FRA-C,,,1030,165,160,55,45,55,80,140,100,115,115
89,"PAPOUTSIS, GEORGIOS",UN-8,Y,O,1030,180,60,145,0,105,150,85,110,80,115
90,"BRÜTSCH, CHRISTOF",SUI-A,Y,,1020,65,140,135,45,45,150,140,135,165,0
,"HRGA, SINIŠA",UN-10,,O,960,140,95,70,75,95,105,55,100,140,85
,"VODIČKA, ZDENĚK",CZE-B,,O,930,165,70,150,45,115,80,140,85,80,0
91,"ALYANAKYAN, KAMER",TUR-B,Y,,910,75,60,150,45,150,80,140,100,50,60
,"DUC, JOFFREY",FRA-C,,,905,120,95,120,55,105,80,110,30,135,55
,"LEE-AU, YUK YEE",UN-7,,,905,155,130,65,0,65,100,140,100,90,60
92,"ARNOLD, HELEN",UN-1,Y,,899,110,140,125,55,110,84,55,115,50,55
93,"PERÄLÄ, HENNA",FIN-A,Y,,885,25,95,200,45,155,80,85,30,130,40
,"ROBINSON, LIANE",UN-1,,O,845,115,35,150,0,150,80,85,70,100,60
94,"GRIGOĻUNOVIČS , ANDREJS",UN-7,Y,F,800,95,105,135,45,110,150,55,0,50,55
95,"MOSSHAMMER, MICHAEL",UN-3,Y,,795,0,0,0,0,0,0,150,90,255,300
96,"BASIBUYUK, EMIR BATU",TUR-B,Y,,775,25,105,150,100,95,80,85,30,0,105
97,"KEREZOVIC, NIKOLA",SRB-A,Y,F,730,40,105,145,45,95,80,100,30,50,40
,"ROMON, CHRISTIAN",FRA-C,,O,715,50,115,135,0,45,45,140,55,90,40
98,"SCHLAPFER, RETO",SUI-A,Y,,695,135,140,80,45,60,80,95,0,60,0
99,"ALAN, EFE",TUR-B,Y,,675,0,60,105,135,45,80,85,30,90,45
,"KORVENAHO, JUHA",UN-6,,F,625,65,105,80,45,95,80,85,30,40,0
,"NAEF, ESTHER",UN-3,,O,625,25,70,65,75,95,80,85,30,40,60
,"PUUSEPP, VIRGI",EST-B,,O,590,95,60,85,45,110,0,75,30,90,0
100,"KURCHAN, RODOLFO",ARG-A,Y,O,510,45,35,65,45,65,0,85,75,40,55
101,"VUCETIC, ALEKSA",SRB-A,Y,F,420,65,60,50,45,50,80,40,30,0,0
,"DOBRINOVA, MONIKA",UN-8,,F,386,25,35,85,0,60,56,95,30,0,0
,"CHENG, GODFREY",UN-2,,,380,25,95,0,0,50,80,40,30,0,60
102,"ERTURAN, HAKAN",UN-?,Y,FO,356,40,60,80,0,0,56,40,30,50,0
,"BRATIM, STIPE",UN-10,,O,326,65,60,0,0,45,56,55,45,0,0
103,"KURCHAN, LEANDRO",ARG-A,Y,FU,325,25,25,70,45,0,80,40,0,40,0
,"ŠAFFOVÁ, MICHAELA",UN-11,,F,295,25,60,0,45,95,0,0,30,40,0
,"KUBER, KARTHIK",CAN-B,,F,150,0,25,80,0,0,0,0,45,0,0
,"MALAIN, KANJANASIRI",THA-A,Y,F,140,40,60,0,0,0,0,40,0,0,0
,"PERÄLÄ, EEA",UN-6,,FU,80,25,25,0,0,0,0,0,30,0,0
,"COLL, PABLO",ARG-A,Y,O,55,0,25,30,0,0,0,0,0,0,0
,"MOSCHCOVICH, PATRICIO",ARG-A,Y,FO,30,0,0,0,0,0,0,0,30,0,0
,"MUNKHBAYAR, UYANGAMAA",UN-?,Y,F,0,0,0,0,0,0,0,0,0,0,0
